Country,Year,AvgTemp_Country,co2,co2_per_capita
Malaysia,2012,27.2347109375,212.994,7.18
Portugal,2013,15.92785714285714,48.146,4.604
Italy,2005,12.894605158730155,501.365,8.567
Uzbekistan,1966,13.494934782608697,51.335,4.989
Uzbekistan,1982,12.088791666666664,89.966,5.465
Philippines,1963,26.566534615384626,11.472,0.374
Philippines,2005,27.21385494223364,72.334,0.822
Madagascar,1983,22.607708333333335,0.65,0.066
Madagascar,1985,22.206458333333334,1.053,0.101
Chile,2006,12.607045138888887,64.048,3.88
Romania,1979,9.544243333333334,195.324,8.87
Peru,1990,16.96100772200772,21.401,0.972
Peru,1996,16.60496212121212,24.717,0.996
Colombia,1994,23.11542948717948,66.982,1.907
Tanzania,1968,22.285654450261777,1.652,0.131
Tunisia,2007,20.0362,24.725,2.368
Israel,1987,19.258185185185184,27.069,6.389
Israel,1999,20.32476851851852,54.756,9.209
Israel,2003,19.997212962962962,62.415,9.598
Israel,2010,21.623675925925927,68.287,9.308
Greece,1960,17.15917857142857,9.392,1.12
New Zealand,1961,13.070398148148147,11.755,4.838
New Zealand,1991,13.128296296296297,26.17,7.518
New Zealand,2003,13.468768518518518,36.22,9.004
Iraq,1997,20.105625000000003,76.296,3.44
Iraq,2013,22.608870967741936,141.704,4.016
Afghanistan,1974,13.314447916666666,1.913,0.153
Afghanistan,2010,15.43392708333333,8.365,0.296
Thailand,1989,27.099662698412697,71.696,1.331
Central African Republic,1968,24.85891666666667,0.183,0.091
Central African Republic,1973,25.37533333333333,0.161,0.072
Bosnia And Herzegovina,1984,10.284566666666668,18.759,4.367
Bosnia And Herzegovina,2005,10.312433333333331,16.046,3.917
Switzerland,1973,7.4354000000000005,46.205,7.326
Switzerland,2000,9.124149999999998,43.621,6.072
Switzerland,2004,8.381733333333333,45.231,6.125
Switzerland,2005,8.1555,45.776,6.159
Equatorial Guinea,1963,25.5115,0.026,0.09
Cuba,1995,26.335279761904765,22.868,2.093
Lebanon,1993,19.00213888888889,10.355,2.71
Norway,1967,4.0199375,19.304,5.101
Norway,1971,4.276895833333334,27.166,6.961
Ukraine,1964,7.6459027777777795,346.245,7.703
Ukraine,1982,8.303913194444446,673.809,13.369
Malawi,1995,22.24866666666667,0.903,0.089
Malawi,2001,21.938625000000002,0.777,0.067
Malawi,2010,22.55095833333333,0.972,0.066
Burkina Faso,1996,28.433541666666667,0.727,0.068
Burkina Faso,2006,28.725608695652166,1.217,0.085
Congo,1987,24.573833333333337,1.32,0.605
Hungary,1970,9.781462962962962,69.96,6.782
Burundi,2007,21.28391666666667,0.187,0.023
Burundi,2011,21.226083333333335,0.414,0.043
Bulgaria,1974,10.682821428571428,71.137,8.193
Bulgaria,2002,11.83404761904762,46.141,5.869
Haiti,1984,26.586999999999996,0.902,0.149
Sri Lanka,1961,26.803287037037038,2.334,0.236
